rank,finalWorth,name,source,industries,citizenship,gender,lastname,estWorthPrev
2657,1058.695,Yang Lijuan,restaurants,Food & Beverage,China,F,Yang,1058.695356
1528,2220.049,Mi Enhua,retail,Fashion & Retail,China,M,Mi,2220.048823
555,5405.61,Shen Guojun,retail,Fashion & Retail,China,M,Shen,5405.610377
1635,2052.946,Wong Kwong Yu & family,retail,Fashion & Retail,China,M,Wong,2052.945505
2128,1515.22,Yang Yunyun,retail,Fashion & Retail,China,F,Yang,1515.2195
1043,3124.479,Ye Guofu,retail,Fashion & Retail,China,M,Ye,3124.479
2725,1002.071,Zhang Xuanning,retail,Fashion & Retail,China,M,Zhang,1002.070631
2082,1556.188,Ke Yunfeng & family,retailing,Healthcare,China,M,Ke,1556.187507
2106,1528.719,Ke Kangbao & family,retailing,Healthcare,China,M,Ke,1528.718724
2157,1492.66,Ke Jinlong & family,retailing,Healthcare,China,M,Ke,1492.659502
2485,1200,Cheng Wei,ride-hailing service,Service,China,M,Cheng,1200
2146,1500,Zhou Jian,robotics,Technology,China,M,Zhou,1500
1784,1875.444,Wang Lizhan,sauce,Food & Beverage,China,M,Wang,1875.443949
838,3777.04,Zhou Hongyi,security software,Technology,China,M,Zhou,3777.040258
2582,1128.428,Li Denghai,seed production,Food & Beverage,China,M,Li,1128.427521
988,3331.049,Li Min,semiconductor,Technology,China,M,Li,3331.048923
1463,2317.029,Wang Minwen,semiconductor,Technology,China,M,Wang,2317.029216
1838,1815.949,Zhang Shilong & family,semiconductor,Technology,China,M,Zhang,1815.949468
2162,1489.203,Liang Qin & family,semiconductor devices,Technology,China,F,Liang,1489.202898
2249,1417.956,Cao Jianwei,semiconductors,Manufacturing,China,M,Cao,1417.956153
1539,2200.706,Chen Tianshi,semiconductors,Technology,China,M,Chen,2200.705522
2182,1471.048,Huang Shanbing & family,semiconductors,Technology,China,M,Huang,1471.047821
1995,1655.342,Qiu Minxiu,semiconductors,Technology,China,F,Qiu,1655.342232
157,13700.273,Yu Renrong,semiconductors,Manufacturing,China,M,Yu,13700.27301
2145,1500.052,Zhu Yiming,semiconductors,Technology,China,M,Zhu,1500.052231
666,4637.942,Yang Shaopeng,shipping,Logistics,China,M,Yang,4637.941568
2622,1096.292,Xu Guangfu & family,silicon,Energy,China,M,Xu,1096.2924
587,5140.073,Zeng Fangqin,smartphone components,Technology,China,F,Zeng,5140.073384
1399,2428.564,Hong Feng,smartphones,Technology,China,M,Hong,2428.564185
67,25939.674,Lei Jun,smartphones,Technology,China,M,Lei,26020.34476
1398,2429.288,Li Wanqiang,smartphones,Technology,China,M,Li,2429.287884
1418,2388.564,Zhaojiang Zhu,Smartphones,Manufacturing,China,M,Zhu,2388.563796
2655,1061.36,Zhang Xuewu,snacks,Food & Beverage,China,M,Zhang,1061.359643
300,8704.281,Xu Shihui,"snacks, beverages",Food & Beverage,China,M,Xu,8704.280707
1216,2766.701,Chi Yufeng,software,Technology,China,M,Chi,2766.70098
1466,2312.314,Diao Zhizhong,software,Technology,China,M,Diao,2312.31436
2208,1446.162,Feng Yi,software,Technology,China,M,Feng,1446.162393
894,3599.587,He Zhaoxi,software,Technology,China,M,He,3599.586911
2523,1178.432,Huang Shan,software,Technology,China,M,Huang,1178.43171
960,3425.314,Li Zhongchu,software,Technology,China,M,Li,3425.314007
2475,1209.198,Liu Qingfeng,software,Technology,China,M,Liu,1209.198235
1245,2711.133,Qi Xiangdong,software,Technology,China,M,Qi,2711.133442
2125,1516.171,Wei Lidong & family,software,Technology,China,M,Wei,1516.170598
1040,3133.389,Xiong Wu,software,Technology,China,M,Xiong,3133.389096
1249,2700.709,Xu Shaochun,software,Technology,China,M,Xu,2700.709048
1651,2036.041,Xue Xiangdong & family,software,Technology,China,M,Xue,2036.041059
2321,1347.909,Jane Yan & family,software,Technology,China,F,Yan,1347.908628
2554,1147.311,Ye Qiongjiu,software,Technology,China,F,Ye,1147.311143
961,3418.369,Yi Zheng,software,Technology,China,M,Yi,3418.369196
1083,3017.921,Zhao Hongfei,software,Technology,China,M,Zhao,3017.921413
2315,1353.202,Cai Hao & family,solar energy,Manufacturing,China,M,Cai,1353.201865
2361,1308.76,Chen Gang,solar energy,Energy,China,M,Chen,1308.76014
1127,2944.315,Wang Junshi & family,solar energy,Manufacturing,China,M,Wang,2944.315183
1369,2478.435,Gao Jifan & family,solar equipment,Energy,China,M,Gao,2478.435051
356,7777.146,Lin Jianhua & family,solar panel components,Manufacturing,China,M,Lin,7777.146375
1059,3076.784,Zhu Gongshan,solar panel materials,Manufacturing,China,M,Zhu,3076.783817
622,4892.435,Jin Baofang,solar panels,Energy,China,M,Jin,4892.435013
193,11695.244,Li Zhenguo & family,solar wafers and modules ,Manufacturing,China,M,Li,11695.24435
271,9268.548,Cheng Xue,soy sauce,Food & Beverage,China,F,Cheng,9268.548153
2006,1643.692,Huang Wenbiao,soy sauce,Food & Beverage,China,M,Huang,1643.691958
786,4019.395,Lai Jianping,soy sauce,Food & Beverage,China,M,Lai,4019.394967
700,4449.375,Pan Laican,soy sauce,Food & Beverage,China,M,Pan,4449.375157
2077,1563.642,Wu Zhenxing,soy sauce,Food & Beverage,China,M,Wu,1563.642434
1804,1852.434,Ye Yanqiao,soy sauce,Food & Beverage,China,M,Ye,1852.434357
2161,1489.634,Fang Zhancheng,soy sauce ,Food & Beverage,China,M,Fang,1489.634313
1387,2445.828,Li Xuhui,soy sauce ,Food & Beverage,China,F,Li,2445.828084
59,28186.945,Pang Kang,soy sauce ,Food & Beverage,China,M,Pang,28186.94518
184,12152.041,Ding Shizhong & family,sports apparel,Fashion & Retail,China,M,Ding,12152.04113
187,11965.556,Ding Shijia,sports apparel,Fashion & Retail,China,M,Ding,11965.5559
979,3366.592,Lai Shixian,sports apparel,Fashion & Retail,China,M,Lai,3366.591928
997,3290.095,Wang Wenmo,sports apparel,Fashion & Retail,China,M,Wang,3290.094583
1779,1879.873,Chen Xueling,stationery,Manufacturing,China,F,Chen,1879.872935
1013,3216.742,Chen Huwen,stationery,Manufacturing,China,M,Chen,3216.742458
1042,3128.486,Chen Huxiong,stationery,Manufacturing,China,M,Chen,3128.486402
2355,1314.472,Du Shuanghua,steel,Manufacturing,China,M,Du,1314.471708
759,4123.129,Fang Wei,steel,Manufacturing,China,M,Fang,4123.128861
1955,1686.281,Gao Xingjiang,steel,Manufacturing,China,M,Gao,1686.281211
1372,2474.18,Zhang Zhixiang,steel,Metals & Mining,China,M,Zhang,2474.18002
1433,2367.511,Shen Wenrong,steel production,Metals & Mining,China,M,Shen,2367.511438
2470,1215.411,Li Fengluan,"steel, diversified",Diversified,China,F,Li,1215.410562
1187,2822.416,Li Liufa & family,"steel, diversified",Diversified,China,M,Li,2822.415838
793,3992.802,Zhang Wenzhong,supermarkets,Fashion & Retail,China,M,Zhang,3992.801703
1984,1668.607,Zhang Xuansong,supermarkets,Fashion & Retail,China,M,Zhang,1668.607349
810,3904.725,Fu Liquan & family,surveillance equipment,Technology,China,M,Fu,3904.725014
1047,3111.377,Hu Yangzhong,technology,Technology,China,M,Hu,3111.377065
2617,1097.565,Liu Yingqi,technology,Technology,China,M,Liu,1097.565254
2521,1179.63,Zhao Dongping,technology,Technology,China,M,Zhao,1179.630051
954,3454.714,Chang Jing,technology ,Technology,China,M,Chang,3454.713858
1623,2068.625,Zhang Xuezheng,telecom,Technology,China,M,Zhang,2068.625394
2328,1341.365,Shusheng Zheng,telecom,Telecom,China,M,Zheng,1341.364857
2227,1433.714,Ren Zhengfei,telecom equipment,Telecom,China,M,Ren,1433.714181
1708,1975.963,Lv Dalong,telecom services,Telecom,China,M,Lv,1975.963101
2108,1525.599,Lu Rongfu,telecommunication,Telecom,China,M,Lu,1525.598703
1970,1674.536,Chen Wenyuan & family,testing equipment,Technology,China,M,Chen,1674.536279
1312,2583.869,Huang Guanlin,"textiles, apparel",Fashion & Retail,China,M,Huang,2583.869491
147,14670.991,Ma Jianrong & family,"textiles, apparel",Fashion & Retail,China,M,Ma,14670.99062
2109,1525.515,Ma Renhe,"textiles, apparel",Fashion & Retail,China,M,Ma,1525.514715
524,5654.955,Miao Hangen,"textiles, petrochemicals",Diversified,China,M,Miao,5654.955358
1056,3090.849,Tang Jinkui & family,"textiles, petrochemicals",Manufacturing,China,M,Tang,3090.848977
37,36238.42,Zhang Yiming,TikTok,Technology,China,M,Zhang,36238.42013
1919,1725.527,Qin Long,tire,Manufacturing,China,M,Qin,1725.526882
580,5204.508,Wang Xicheng & family,tires,Manufacturing,China,M,Wang,5204.507727
721,4317.084,Zhang Fan,touch screens,Technology,China,M,Zhang,4317.084069
2692,1032.902,Huang Qiaolong & family,tourism,Service,China,M,Huang,1032.901501
2547,1151.984,Yu Faxiang,"tourism, cultural industry",Media & Entertainment,China,M,Yu,1151.984115
521,5666.308,Wang Ning & family,toys,Media & Entertainment,China,M,Wang,5666.307793
1246,2708.933,Wang Changtian,"TV, movie production",Media & Entertainment,China,M,Wang,2708.932595
2566,1140.193,Zhang Gongyun,tyre manufacturing machinery,Manufacturing,China,M,Zhang,1140.193268
1471,2302.806,Su Suyu & family,"utilities, real estate",Real Estate,China,F,Su,2302.806223
2085,1552.391,Wang Zhentao & family,vaccine & shoes,Healthcare,China,M,Wang,1552.390948
659,4672.849,Du Weimin,vaccines,Healthcare,China,M,Du,4672.848649
61,26909.867,Jiang Rensheng & family,vaccines,Healthcare,China,M,Jiang,26909.8674
743,4184.14,Zhang Daocai,valves,Diversified,China,M,Zhang,4184.140445
642,4777.418,Neil Shen,venture capital,Finance & Investments,China,M,Shen,4777.418389
169,13034.018,Su Hua,video streaming,Media & Entertainment,China,M,Su,13034.01794
226,10340.879,Cheng Yixiao,video streaming app,Media & Entertainment,China,M,Cheng,10340.87892
1775,1881.901,Yang Yuanxi,video streaming app,Media & Entertainment,China,M,Yang,1881.901345
1538,2202.43,Yin Xin,video streaming app,Media & Entertainment,China,M,Yin,2202.430493
2022,1623.625,Xiang Guangming & family,waste disposal,Manufacturing,China,M,Xiang,1623.62518
2606,1110.898,Wen Yibo & family,wastewater treatment,Service,China,M,Wen,1110.897584
924,3528.731,Wu Shaoxun,wine,Food & Beverage,China,M,Wu,3528.730596
2593,1121.372,Xu Jin,wine,Food & Beverage,China,M,Xu,1121.371571
1597,2107.954,Zhang Yubai,wine,Food & Beverage,China,M,Zhang,2107.954081
1143,2910.419,Melissa Ma,,Technology,China,F,Ma,2910.419
829,3824.816,Jaime Gilinski Bacal,banking,Finance & Investments,Colombia,M,Gilinski Bacal,3824.816221
224,10388.241,Luis Carlos Sarmiento,banking,Finance & Investments,Colombia,M,Sarmiento,10387.66685
684,4544.513,Beatriz Davila de Santo Domingo,beer,Food & Beverage,Colombia,F,Davila de Santo Domingo,4544.51313
583,5200,David Velez,fintech,Finance & Investments,Colombia,M,Velez,5200
1426,2371.611,Carlos Ardila Lülle,"soft drinks, diversified",Food & Beverage,Colombia,M,Ardila Lülle,2371.611286
2668,1048.48,Clelia Haji-Ioannou,EasyJet,Service,Cyprus,F,Haji-Ioannou,1048.480342
2416,1264.855,Stelios Haji-Ioannou,EasyJet,Service,Cyprus,M,Haji-Ioannou,1264.854664
2596,1120.186,Polys Haji-Ioannou,EasyJet,Service,Cyprus,M,Haji-Ioannou,1120.186073
657,4684.179,Yakir Gabay,real estate,Real Estate,Cyprus,M,Gabay,4684.178964
209,11115.921,John Fredriksen,shipping,Logistics,Cyprus,M,Fredriksen,11115.92112
858,3711.044,Andrej Babis,agriculture,Food & Beverage,Czechia,M,Babis,3711.043572
1870,1784.076,Pavel Tykac,coal mines,Metals & Mining,Czechia,M,Tykac,1784.075509
751,4149.208,Daniel Kretinsky,"energy, investments",Energy,Czechia,M,Kretinsky,4149.208179
2496,1196.961,Marek Dospiva,investments,Finance & Investments,Czechia,M,Dospiva,1196.961124
529,5629.019,Karel Komarek,"oil and gas, IT, lotteries",Gambling & Casinos,Czechia,M,Komarek,5629.018944
617,4917.599,Radovan Vitek,real estate,Real Estate,Czechia,M,Vitek,4917.599491
1549,2184.706,Pavel Baudis,software,Technology,Czechia,M,Baudis,2184.706479
2458,1221.996,Eduard Kucera,software,Technology,Czechia,M,Kucera,1221.996397
2398,1280.81,Martin Moller Nielsen,aircraft leasing,Logistics,Denmark,M,Moller Nielsen,1280.81
156,13715.487,Anders Holch Povlsen,fashion retail,Fashion & Retail,Denmark,M,Povlsen,13715.4868
292,8860.803,Sofie Kirk Kristiansen,Lego,Manufacturing,Denmark,F,Kristiansen,8860.803049
292,8860.803,Kjeld Kirk Kristiansen,Lego,Manufacturing,Denmark,M,Kristiansen,8860.803375
292,8860.803,Thomas Kirk Kristiansen,Lego,Manufacturing,Denmark,M,Kristiansen,8860.803375
292,8860.803,Agnete Kirk Thinggaard,Lego,Manufacturing,Denmark,F,Thinggaard,8860.803375
2325,1345.588,Benedicte Find,medical devices,Healthcare,Denmark,F,Find,1345.588482
280,9119.42,Niels Peter Louis-Hansen,medical devices,Healthcare,Denmark,M,Louis-Hansen,9119.420182
2266,1391.917,Anna Kasprzak,shoes,Fashion & Retail,Denmark,F,Kasprzak,1391.917161
2266,1391.917,André Kasprzak,shoes,Fashion & Retail,Denmark,M,Kasprzak,1391.917161
273,9245.11,Nassef Sawiris,"construction, investments",Construction & Engineering,Egypt,M,Sawiris,9245.110283
2612,1102.071,Onsi Sawiris,"construction, telecom",Construction & Engineering,Egypt,M,Sawiris,1102.071383
1368,2482.164,Mohamed Mansour,diversified,Diversified,Egypt,M,Mansour,2482.163593
2174,1480.519,Youssef Mansour,diversified ,Diversified,Egypt,M,Mansour,1480.51937
2568,1139.615,Yasseen Mansour,diversified ,Diversified,Egypt,M,Mansour,1139.614789
1794,1869.706,Mohamed Al Fayed,"retail, investments",Fashion & Retail,Egypt,M,Al Fayed,1869.706172
1031,3157.036,Naguib Sawiris,telecom,Telecom,Egypt,M,Sawiris,3157.035609
652,4719.66,Nathan Kirsh,"retail, real estate",Fashion & Retail,Swaziland,M,Kirsh,4719.660415
2164,1485.624,Heikki Kyostila,dental products,Healthcare,Finland,M,Kyostila,1485.624319
2095,1539.482,Antti Aarnio-Wihuri,diversified,Diversified,Finland,M,Aarnio-Wihuri,1539.481618
1587,2122.995,Ilona Herlin,"elevators, escalators",Manufacturing,Finland,F,Herlin,2122.995476
403,6965.151,Antti Herlin,"elevators, escalators",Manufacturing,Finland,M,Herlin,6965.150751
1522,2227.885,Ilkka Herlin,"elevators, escalators",Manufacturing,Finland,M,Herlin,2227.884872
1891,1754.817,Heikki Herlin,"elevators, escalators",Manufacturing,Finland,M,Herlin,1754.816681
2377,1298.002,Mika Anttonen,oil & gas,Energy,Finland,M,Anttonen,1298.001695
2094,1540,Christian Latouche,accounting services,Finance & Investments,France,M,Latouche,1540
2420,1262.499,Edouard Carmignac,asset management,Finance & Investments,France,M,Carmignac,1262.498577
837,3778.051,Charles Edelstenne,aviation,Manufacturing,France,M,Edelstenne,3778.050582
2202,1452.779,Francis Holder,bakeries,Food & Beverage,France,M,Holder,1452.77946
1091,3006.375,Louis Le Duff,bakeries,Food & Beverage,France,M,Le Duff,3006.375197
389,7097.902,Stéphane Bancel,biotech,Healthcare,France,M,Bancel,7097.902425
45,33803.784,Alain Wertheimer,Chanel,Fashion & Retail,France,M,Wertheimer,33803.784
45,33803.784,Gerard Wertheimer,Chanel,Fashion & Retail,France,M,Wertheimer,33803.784
94,20070.22,Emmanuel Besnier,cheese,Food & Beverage,France,M,Besnier,20070.21997
396,7011.932,Jean-Michel Besnier,cheese,Food & Beverage,France,M,Besnier,7011.932179
396,7011.932,Marie Besnier Beauvalot,cheese,Food & Beverage,France,F,Besnier Beauvalot,7011.932179
1540,2199.214,Olivier Pomel,cloud computing,Technology,France,M,Pomel,2199.214245
2483,1200.986,Clement Fayat & family,construction,Construction & Engineering,France,M,Fayat,1200.98583
677,4579.223,Martin & Olivier Bouygues,"construction, media",Construction & Engineering,France,M,Bouygues,4579.223265
316,8335.025,Thierry Dassault,diversified,Diversified,France,M,Dassault,8335.025273
316,8335.025,Laurent Dassault,diversified,Diversified,France,M,Dassault,8335.025273
316,8335.025,Marie-Hélène Habert,diversified,Diversified,France,F,Habert,8335.025273
1041,3132.574,Philippe Foriel-Destezet,employment agency,Service,France,M,Foriel-Destezet,3132.574432
609,4961.487,Marc Ladreit de Lacharriere,finance,Finance & Investments,France,M,Ladreit de Lacharriere,4961.487223
650,4720.824,Pierre Bellon & family,food services,Service,France,M,Bellon,4720.824464
363,7732.17,Nicolas Puech,Hermes,Fashion & Retail,France,M,Puech,7732.169674
310,8414.863,Xavier Niel,"internet, telecom",Telecom,France,M,Niel,8414.862928
329,8157.08,Vincent Bolloré & family,investments,Finance & Investments,France,M,Bolloré,8157.080053
680,4563.342,Gilles Martin,laboratory services,Healthcare,France,M,Martin,4563.341589
1664,2020.574,Yves-Loic Martin,laboratory services,Healthcare,France,M,Martin,2020.573695
10,91745.968,Francoise Bettencourt Meyers & family,L'Oréal,Fashion & Retail,France,F,Bettencourt Meyers,91745.96797
23,56237.688,François Pinault & family,luxury goods,Fashion & Retail,France,M,Pinault,56237.68794
1,194752.748,Bernard Arnault & family,LVMH,Fashion & Retail,France,M,Arnault,194752.7476
1512,2239.861,Francois Feuillet,"motorhomes, RVs",Automotive,France,M,Feuillet,2239.861033
490,5971.345,Carrie Perrodo & family,oil ,Energy,France,F,Perrodo,5971.345131
1441,2352.565,Bernard Fraisse,pharmaceuticals,Healthcare,France,M,Fraisse,2352.565096
378,7371.666,Alain Merieux & family,pharmaceuticals,Healthcare,France,M,Merieux,7371.666085
1289,2630.485,Anne Beaufour,pharmaceuticals ,Healthcare,France,F,Beaufour,2630.484825
1289,2630.485,Henri Beaufour,pharmaceuticals ,Healthcare,France,M,Beaufour,2630.484825
1456,2331.783,Alain Taravella,real estate development,Real Estate,France,M,Taravella,2331.783464
2539,1164.605,Michel Chalhoub & family,retail,Fashion & Retail,France,M,Chalhoub,1164.605
1559,2166.646,Philippe Ginestet & family,retail stores,Fashion & Retail,France,M,Ginestet,2166.646482
939,3483.311,Mohed Altrad,"scaffolding, cement mixers",Construction & Engineering,France,M,Altrad,3483.311131
215,10894.35,Rodolphe Saadé & family,shipping,Logistics,France,M,Saadé,10894.35
1933,1703.237,Jean-Pierre Cayard,spirits,Food & Beverage,France,M,Cayard,1703.236881
491,5956.339,Michel Leclercq & family,sporting goods,Fashion & Retail,France,M,Leclercq,5956.338864
181,12283.573,Patrick Drahi,telecom,Telecom,France,M,Drahi,12283.57309
1973,1673.731,Norbert Dentressangle,"transport, logistics",Logistics,France,M,Dentressangle,1673.731379
739,4198.32,Mikhail Lomtadze,fintech,Finance & Investments,Georgia,M,Lomtadze,4198.32
631,4823,Bidzina Ivanishvili,investments,Finance & Investments,Georgia,M,Ivanishvili,4823
1338,2545.113,Hans Langer,3D printing,Manufacturing,Germany,M,Langer,2545.113238
2579,1129.746,Udo Mueller,advertising,Media & Entertainment,Germany,M,Mueller,1129.74567
2438,1240.033,Dirk Stroeer,advertising,Media & Entertainment,Germany,M,Stroeer,1240.033062
93,20246.67,Theo Albrecht Jr & family,"Aldi, Trader Joe's",Fashion & Retail,Germany,M,Albrecht,20246.67
1182,2837.688,Franziska Wuerbser & Gabriella Meister,appliances,Manufacturing,Germany,F,Meister,2837.68778
2232,1430.435,Ulrike Meister,appliances,Manufacturing,Germany,F,Meister,1430.435025
507,5771.06,Juergen Blickle,auto parts,Manufacturing,Germany,M,Blickle,5771.059707
584,5176.811,Rainer Blickle,auto parts,Manufacturing,Germany,M,Blickle,5176.811191
1835,1817.711,Lisa Draexlmaier,auto parts,Automotive,Germany,F,Draexlmaier,1817.711034
124,16284.284,Georg Schaeffler,auto parts,Automotive,Germany,M,Schaeffler,16284.28388
773,4070.422,Maria-Elisabeth Schaeffler-Thumann,auto parts,Automotive,Germany,F,Schaeffler-Thumann,4070.422066
1328,2561.463,Peter Unger,auto repair,Automotive,Germany,M,Unger,2561.463001
2015,1631.268,Ulrike Baro,biopharmaceuticals,Healthcare,Germany,F,Baro,1631.268136
1315,2578.281,Karin Sartorius-Herbst,biopharmaceuticals,Healthcare,Germany,F,Sartorius-Herbst,2578.281337
267,9355.123,Ugur Sahin,biotechnology,Healthcare,Germany,M,Sahin,9355.123466
69,25686.509,Stefan Quandt,BMW,Automotive,Germany,M,Quandt,25686.50861
52,31235.563,Susanne Klatten,"BMW, pharmaceuticals",Automotive,Germany,F,Klatten,31235.56339
942,3478.505,Julia Thiele-Schuerhoff,brakes,Manufacturing,Germany,F,Thiele-Schuerhoff,3478.504638
2075,1565.375,Christine Knauf,building materials,Manufacturing,Germany,F,Knauf,1565.374833
2075,1565.375,Karl Knauf,building materials,Manufacturing,Germany,M,Knauf,1565.374833
2436,1240.184,Martin Knauf,building materials,Manufacturing,Germany,M,Knauf,1240.184087
2436,1240.184,Robert Knauf,building materials,Manufacturing,Germany,M,Knauf,1240.184087
2508,1185.309,Alexander Knauf,building materials,Manufacturing,Germany,M,Knauf,1185.309435
428,6619.901,Axel Oberwelland,candy,Food & Beverage,Germany,M,Oberwelland,6619.901
1527,2221.409,Dieter Schnabel,chemicals,Manufacturing,Germany,M,Schnabel,2221.408502
2633,1078.663,Peter-Alexander Wacker,chemicals,Manufacturing,Germany,M,Wacker,1078.663195
656,4685.721,Paul-Heinz Wesjohann & family,chicken processing,Food & Beverage,Germany,M,Wesjohann,4685.721206
2222,1436.115,Michaela Herz,coffee,Finance & Investments,Germany,F,Herz,1436.114812
485,6009.574,Michael Herz,coffee,Fashion & Retail,Germany,M,Herz,6009.573695
485,6009.574,Wolfgang Herz,coffee,Fashion & Retail,Germany,M,Herz,6009.573695
2222,1436.115,Christian Herz,coffee,Finance & Investments,Germany,M,Herz,1436.114812
1161,2864.815,Bergit Douglas,consumer goods,Food & Beverage,Germany,F,Douglas,2864.815308
1834,1820.75,Christoph Henkel,consumer goods,Fashion & Retail,Germany,M,Henkel,1820.749946
1161,2864.815,Julia Oetker,consumer goods,Fashion & Retail,Germany,F,Oetker,2864.815308
1161,2864.815,Richard Oetker,consumer goods,Fashion & Retail,Germany,M,Oetker,2864.815308
1161,2864.815,Carl Ferdinand Oetker,consumer goods,Fashion & Retail,Germany,M,Oetker,2864.815308
1161,2864.815,August Oetker,consumer goods,Fashion & Retail,Germany,M,Oetker,2864.815308
1161,2864.815,Christian Oetker,consumer goods,Fashion & Retail,Germany,M,Oetker,2864.815308
1161,2864.815,Alfred Oetker,consumer goods,Fashion & Retail,Germany,M,Oetker,2864.815308
822,3838.234,Wolfgang Reimann,consumer goods,Fashion & Retail,Germany,M,Reimann,3838.234225
822,3838.234,Matthias Reimann-Andersen,consumer goods,Fashion & Retail,Germany,M,Reimann-Andersen,3838.234225
822,3838.234,Stefan Reimann-Andersen,consumer goods,Fashion & Retail,Germany,M,Reimann-Andersen,3838.234225
822,3838.234,Renate Reimann-Haas,consumer goods,Fashion & Retail,Germany,F,Reimann-Haas,3838.234225
1161,2864.815,Rosely Schweizer,consumer goods,Fashion & Retail,Germany,F,Schweizer,2864.815308
1660,2026.5,Sylvia Stroeher,cosmetics,Fashion & Retail,Germany,F,Stroeher,2026.5
567,5344.519,Theo Mueller,dairy,Food & Beverage,Germany,M,Mueller,5344.51859
909,3562.013,Kevin David Lehmann,drugstores,Fashion & Retail,Germany,M,Lehmann,3562.012838
1350,2520.537,Erwin Franz Mueller,drugstores,Fashion & Retail,Germany,M,Mueller,2520.536514
795,3959.018,Dirk Rossmann & family,drugstores,Fashion & Retail,Germany,M,Rossmann,3959.01759
995,3298.171,Otto Happel,engineering,Construction & Engineering,Germany,M,Happel,3298.171249
1867,1787.531,Bernd Freier,fashion retail,Fashion & Retail,Germany,M,Freier,1787.53058
665,4639.11,Friedrich Knapp,fashion retail,Fashion & Retail,Germany,M,Knapp,4639.109846
120,16638.743,Reinhold Wuerth & family,fasteners,Manufacturing,Germany,M,Wuerth,16638.74289
2583,1126.83,Carsten Maschmeyer,finance and investments,Finance & Investments,Germany,M,Maschmeyer,1126.830188
2476,1206.133,Ronald Slabke,fintech,Technology,Germany,M,Slabke,1206.132978
2538,1164.967,Horst-Otto Gerberding,flavors and fragrances ,Food & Beverage,Germany,M,Gerberding,1164.967422
1588,2122.788,Horst Wortmann,footwear,Fashion & Retail,Germany,M,Wortmann,2122.787938
1711,1974.24,Josef Boquoi & family,frozen foods,Food & Beverage,Germany,M,Boquoi,1974.240039
1837,1816.619,Kurt Krieger,furniture retailing,Fashion & Retail,Germany,M,Krieger,1816.618626
798,3945.864,Paul Gauselmann & family,gambling,Gambling & Casinos,Germany,M,Gauselmann,3945.864115
1761,1898.202,Joachim Ante,game software,Technology,Germany,M,Ante,1898.20215
245,9913.911,Andreas von Bechtolsheim & family,Google,Technology,Germany,M,von Bechtolsheim,9913.910911
1489,2276.856,Anna Katharina Viessmann,heating and cooling equipment,Manufacturing,Germany,F,Viessmann,2276.856001
791,3996.609,Maximilian Viessmann,heating and cooling equipment,Manufacturing,Germany,M,Viessmann,3996.608937
1826,1828.751,Martin Viessmann,heating and cooling equipment,Manufacturing,Germany,M,Viessmann,1828.751362
576,5220.701,Bernard Broermann,hospitals,Healthcare,Germany,M,Broermann,5220.701223
1553,2179.831,Lutz Mario Helmig,hospitals,Healthcare,Germany,M,Helmig,2179.831029
1156,2880.913,Karin Schick,information technology,Technology,Germany,F,Schick,2880.913165
1852,1800.654,Rolf Gerling,insurance,Finance & Investments,Germany,M,Gerling,1800.653991
742,4188.7,Ralph Dommermuth,internet service provider,Technology,Germany,M,Dommermuth,4188.700496
764,4112.366,Walter P.J. Droege,investing,Finance & Investments,Germany,M,Droege,4112.365626
2559,1145.199,Hedda im Brahm-Droege,investments,Finance & Investments,Germany,F,im Brahm-Droege,1145.198953
284,9030.527,August von Finck,investments,Finance & Investments,Germany,M,von Finck,9030.527352
1605,2099.336,Regine Leibinger,machine tools,Manufacturing,Germany,F,Leibinger,2099.336321
1605,2099.336,Peter Leibinger,machine tools,Manufacturing,Germany,M,Leibinger,2099.336321
1605,2099.336,Nicola Leibinger-Kammueller,manufacturing,Manufacturing,Germany,F,Leibinger-Kammueller,2099.336321
246,9874.046,Friedhelm Loh,manufacturing,Manufacturing,Germany,M,Loh,9874.046264
366,7678.086,Horst Julius Pudwill,manufacturing ,Manufacturing,Germany,M,Pudwill,7678.085854
1824,1829.41,Robert Toennies,meat processing,Food & Beverage,Germany,M,Toennies,1829.410197
1998,1649.471,Clemens Toennies,meat processing,Food & Beverage,Germany,M,Toennies,1649.470752
1313,2580.866,Yvonne Bauer,media,Media & Entertainment,Germany,F,Bauer,2580.865932
2531,1170.764,Mathias Doepfner,Media,Media & Entertainment,Germany,M,Doepfner,1170.7642
1093,3003.512,Gudrun Heine,medical devices,Healthcare,Germany,F,Heine,3003.512171
1093,3003.512,Sybill Storz,medical devices,Healthcare,Germany,F,Storz,3003.512171
2278,1385.007,Anna Maria Braun,medical technology,Healthcare,Germany,F,Braun,1385.006661
2278,1385.007,Johanna Braun,medical technology,Healthcare,Germany,F,Braun,1385.006661
1045,3121.957,Otto Philipp Braun,medical technology,Healthcare,Germany,M,Braun,3121.957127
2278,1385.007,Karl Friedrich Braun,medical technology,Healthcare,Germany,M,Braun,1385.006661
2331,1338.016,Ludwig Theodor Braun,medical technology,Healthcare,Germany,M,Braun,1338.016229
2030,1612.934,Eva Maria Braun-Luedicke,medical technology,Healthcare,Germany,F,Braun-Luedicke,1612.93448
2030,1612.934,Friederike Braun-Luedicke,medical technology,Healthcare,Germany,F,Braun-Luedicke,1612.93448
2030,1612.934,Bernhard Braun-Luedicke,medical technology,Healthcare,Germany,M,Braun-Luedicke,1612.93448
